ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title
2015010029,929833,1/2/2015,KEYSTONE CONCRETE PLACEMENT,94918 San Luis Pass Road,,GALVESTON,TEXAS,77554,29.24,-94.91,238110,1,0,,"Two employees in a scissor lift were wrecking forms, taking forms down, and removing the forms. They lost their grip on the form, which fell and hit an employee walking below on the shoulder, knocking him to the ground. He hit his head on the concrete, causing a wound to the head, a broken collarbone, and a broken rib.",111,Fractures,899,"Multiple body parts, n.e.c.",6232,Struck by object or equipment dropped by other person,659,"Structural elements, n.e.c.",,
2015010068,930344,1/5/2015,"TROY CONSTRUCTION, LLC",Janin Road,,SWEENY,TEXAS,77480,29.06,-95.71,237120,1,0,,Employee was loading plastic pipes onto a utility trailer.  He jumped off the trailer and broke his ankle.,111,Fractures,52,Ankle(s),4421,Other jump to lower level less than 6 feet,483,Trailers,,
2015010073,930324,1/5/2015,Insulation Incorporated,Sunoco Logistics,2300 North Twin City Highway,NEDERLAND,TEXAS,77627,29.97,-94,238290,1,0,,"A fire suppression system inadvertently went off, causing a white cloud.  Employees working on a scaffold, 24 feet above the ground, scrambled to avoid the cloud. While descending a ladder, an employee slipped and fell 10 to 12 feet.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4333,Other fall to lower level 11 to 15 feet ,740,"Ladders, unspecified",,
2015010094,930383,1/5/2015,Bryant and Frey Construction,P.O.Box 359,,MANOR,TEXAS,78653,30.33,-97.55,237990,1,1,,Employee's right foot was crushed and all of the toes had to be amputated at the hospital. He will require a few days of hospitalization and rehab afterwards. The job required pulling back and laying down pipe.,1311,Amputations,532,"Toes(s), toenail(s)",9999,Nonclassifiable,9999,Nonclassifiable,,
2015010134,931252,1/6/2015,Nelson Refrigeration,600 W. Henderson St.,,CLEBURNE,TEXAS,76033,32.34,-97.39,238220,1,0,,Employee was cutting a 10-foot length of 6-inch PVC pipe into 10-inch sections. He was using a chop saw that was on a pivot because the tool he had been using would not cut the pipe. The employee was using his hand to hold the pipe.  His hand got pulled into the blade.,1972,"Soreness, pain, hurt-nonspecified injury",440,"Hand(s), unspecified",6311,Struck against moving part of machinery or equipment,3579,"Sawing machinery-stationary, n.e.c.",,
2015010172,931038,1/7/2015,Rice Tunneling & Boring Inc.,1366 N. Main,,DUNCANVILLE,TEXAS,75116,32.67,-96.9,238910,1,0,,"Employee was operating a horizontal drilling machine when the drive shaft came loose and hit the guard. This broke the guard, which then hit the employee's seat.  The employee was knocked off the machine.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4330,"Other fall to lower level, unspecified",3520,"Boring, drilling, planing, milling machinery, unspecified",449,"Machine, tool, and electric parts, n.e.c."
2015010227,931082,1/7/2015,Hi-Serve Inc,1303 Mccullough Ave,,SAN ANTONIO,TEXAS,78212,29.44,-98.49,238190,1,0,,"Employee was descending a 10-foot ladder and was about halfway down when he missed a rung and fell off the ladder. Employee landed on his left side and hit his head on the paved surface below.  At the time of the incident, the employee was on the ladder outside removing sealant from the wall of the Metropolitan Medical Facility.  The employee was transported and admitted to Samcee Hospital. The employee received stitches in his head and sustained a lower back fracture.",111,Fractures,322,Lumbar region,4332,Other fall to lower level 6 to 10 feet,740,"Ladders, unspecified",,
2015010285,931128,1/8/2015,"TEXAS EXTERIOR SYSTEMS, LLC",7800 Airport Blvd.,,HOUSTON,TEXAS,77061,29.65,-95.27,238310,1,0,1018378,The injured employee was hit by a forklift below the knees. He sustained a broken left leg.,111,Fractures,510,"Leg(s), unspecified",6210,"Struck by powered vehicle-nontransport, unspecified",8621,"Forklift, order picker, platform truck-powered",,
2015010294,931152,1/8/2015,Fox Services Company,4300 South Congress ,,AUSTIN,TEXAS,78745,30.22,-97.76,238220,0,1,,"Employee was moving a big blower blade by pulling on the fan belt. The machine was off and had proper lockout/tag out. He was there to diagnose a vibration problem on the HVAC. When pulling, his hand got trapped between the pulley and the belt. He dropped his hand and severed the ring, middle, and pinky fingers on his right hand. Each finger was amputated above the joint and was approximately less than 1 inch.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6329,"Struck against stationary object or equipment, n.e.c.",330,"Heating, cooling, and cleaning machinery and appliances, unspecified",,
2015010333,931416,1/9/2015,Jose Aguilera,655 Yale St.,,HOUSTON,TEXAS,77007,29.78,-95.42,238130,1,0,1018047,"Employees were installing wood trusses on the interior 4th floor level of a newly constructed multi-family dwelling when one employee fell approximately 9 feet to lower level. The injured employee's head struck a nail gun that he was operating when he hit the floor. The injury occurred on January 9, 2015, at approximately 1 p.m.",160,"Intracranial injuries, unspecified",111,Brain,4322,Fall through surface or existing opening 6 to 10 feet,6550,"Trusses, girders, beams-structurally attached, unspecified",,
2015010184,932123,1/13/2015,BMF Solutions,805 Ag Cleaver St.,,PRAIRIE VIEW,TEXAS,77446,30.08,-95.99,238210,0,1,,"The injured employee was installing a back flow preventer in the vertical. The employee was using a chain fall and attempting to place a gasket between the piping. The chain fall ""jumped"" and the pipe landed on his left thumb, which was resting on the pipe's flange. The tip of this left thumb was amputated at the nail bed and could not be reattached. 

The incident occurred in the Ag Building fire pump room.",1311,Amputations,4422,Fingertip(s),620,"Struck by object or equipment, unspecified",4120,"Pipes, ducts, tubing, unspecified",,
2015010421,932242,1/13/2015,"The Holbrook Company, Inc.",3417 Gaston Avenue,,DALLAS,TEXAS,75204,32.78,-96.78,238910,1,0,1019405,A truck loader was being used to load a dump truck with concrete. A piece of rebar was sticking out of the side of the truck. The driver and injured employee tried to manually put the rebar up on the truck. The employee saw some rebar on the ground and went to kick it out of the way of the driver so he wouldn't run over it. The rebar sticking out of the truck became dislodged and hit the employee in the left eye.,1972,"Soreness, pain, hurt-nonspecified injury",132,Eye(s),6241,"Struck by dislodged flying object, particle",4132,"Bars, rods, reinforcing bar (rebar)",,
2015010466,932460,1/14/2015,Total Industrial Plant Services,15602 San Jacinto Port Blvd.,,HOUSTON,TEXAS,77015,29.78,-95.18,238290,1,0,1020189,"An employee, in the process of dismantling a scaffold, climbed the scaffold ladder to approximately 25 feet and stepped off onto a pipe header.  Once on the pipe header, the employee slipped off and fell 25 feet to the ground below where he suffered a right arm compound fracture, a right elbow dislocation, and a fractured pelvis.  A yo-yo tie off was available that the employee was not using. The incident occurred at the 100 rack at the enterprise construction site.",1834,Fractures and dislocations,899,"Multiple body parts, n.e.c.",4335,Other fall to lower level 21 to 25 feet ,6340,"Scaffolds-staging, unspecified",,
2015010504,932771,1/15/2015,Tindall Mechanical,1990 Wittington Place,,FARMERS BRANCH,TEXAS,75234,32.91,-96.91,238220,1,0,,"Employee was bleeding the pressure off a weighted ball used to check stormwater pipes for leaks. The weight of the water inside the PVC pipe caused the ball to slide down the pipe. Employee grabbed the rope strap with his right hand and the strap's force and sharp edge severed his right-thumb tip. 

The finger tip was recovered and delivered to Parkland Hospital, but didn't have enough bone to be reattached.",1311,Amputations,4422,Fingertip(s),669,"Rubbed or abraded by friction or pressure, n.e.c.",4225,Strapping,,
